Owner,Scripts,Quantity
User5 - Copy,RHPL,10.0
User5 - Copy,SJCL,10.0
User5,AKBSL,10.0
User5,BPCL,24.0
User5,JOSHI,20.0
User5,NMB,15.0
User5,PIC,11.0
User5,RHPL,10.0
User5,SJCL,10.0
User6 - Copy,BPCL,24.0
User6 - Copy,HPPL,20.0
User6 - Copy,JOSHI,20.0
User6 - Copy,NHDL,10.0
User6 - Copy,NIB,49.0
User6 - Copy,NLIC,22.0
User6 - Copy,NMB,15.0
User6 - Copy,PFL,14.0
User6 - Copy,SCB,20.0
User6 - Copy,UPPER,50.0
User6,BPCL,24.0
User6,HPPL,20.0
User6,JOSHI,20.0
User6,NHDL,10.0
User6,NIB,49.0
User6,NLIC,22.0
User6,NMB,15.0
User6,PFL,14.0
User6,SCB,20.0
User6,UPPER,50.0
User7 - Copy,AKBSL,10.0
User7 - Copy,BPCL,24.0
User7 - Copy,HPPL,10.0
User7 - Copy,ILBS,11.0
User7 - Copy,NIB,49.0
User7 - Copy,PFL,14.0
User7 - Copy,SCB,20.0
User7 - Copy,SDLBSL,10.0
User7 - Copy,UMHL,10.0
User7,AKBSL,10.0
User7,BPCL,24.0
User7,HPPL,10.0
User7,ILBS,11.0
User7,NIB,49.0
User7,PFL,14.0
User7,SCB,20.0
User7,SDLBSL,10.0
User7,UMHL,10.0
User8 - Copy,AKJCL,20.0
User8 - Copy,BPCL,24.0
User8 - Copy,CZBIL,10.0
User8 - Copy,FMDBL,174.0
User8 - Copy,GBLBS,15.0
User8 - Copy,GMFBS,10.0
User8 - Copy,HPPL,10.0
User8 - Copy,ILBS,11.0
User8 - Copy,JOSHI,20.0
User8 - Copy,NHDL,10.0
User8 - Copy,NIB,49.0
User8 - Copy,NLIC,22.0
User8 - Copy,NMB,15.0
User8 - Copy,PFL,14.0
User8 - Copy,RADHI,12.0
User8 - Copy,RHPL,40.0
User8 - Copy,SCB,20.0
User8 - Copy,SICL,10.0
User8 - Copy,SJCL,20.0
User8 - Copy,TJVCL,20.0
User8 - Copy,UPPER,50.0
User8,AKJCL,20.0
User8,BPCL,24.0
User8,CZBIL,10.0
User8,FMDBL,174.0
User8,GBLBS,15.0
User8,GMFBS,10.0
User8,HPPL,10.0
User8,ILBS,11.0
User8,JOSHI,20.0
User8,NHDL,10.0
User8,NIB,49.0
User8,NLIC,22.0
User8,NMB,15.0
User8,PFL,14.0
User8,RADHI,12.0
User8,RHPL,40.0
User8,SCB,20.0
User8,SICL,10.0
User8,SJCL,20.0
User8,TJVCL,20.0
User8,UPPER,50.0
User9 - Copy,AKJCL,10.0
User9 - Copy,BPCL,24.0
User9 - Copy,CZBIL,10.0
User9 - Copy,FMDBL,174.0
User9 - Copy,GBLBS,15.0
User9 - Copy,HPPL,10.0
User9 - Copy,JOSHI,20.0
User9 - Copy,NIB,49.0
User9 - Copy,NLIC,22.0
User9 - Copy,NMB,15.0
User9 - Copy,NRIC,40.0
User9 - Copy,PFL,14.0
User9 - Copy,PIC,11.0
User9 - Copy,RADHI,12.0
User9 - Copy,RBCL,11.0
User9 - Copy,RHPL,30.0
User9 - Copy,RRHP,10.0
User9 - Copy,SBI,24.0
User9 - Copy,SCB,20.0
User9 - Copy,SICL,10.0
User9 - Copy,SJCL,20.0
User9 - Copy,TJVCL,20.0
User9 - Copy,UPPER,50.0
User9,AKJCL,10.0
User9,BPCL,24.0
User9,CZBIL,10.0
User9,FMDBL,174.0
User9,GBLBS,15.0
User9,HPPL,10.0
User9,JOSHI,20.0
User9,NIB,49.0
User9,NLIC,22.0
User9,NMB,15.0
User9,NRIC,40.0
User9,PFL,14.0
User9,PIC,11.0
User9,RADHI,12.0
User9,RBCL,11.0
User9,RHPL,30.0
User9,RRHP,10.0
User9,SBI,24.0
User9,SCB,20.0
User9,SICL,10.0
User9,SJCL,20.0
User9,TJVCL,20.0
User9,UPPER,50.0
